Date,Site,Type,City,Salinity,Temp,Month,Year,Where,Species,Common,Abundance
2008-08-22T00:00:00Z,SMCC Dock,Dock,South Portland,25,18,Aug,2008,Mainland,Botryllus schlosseri,Golden Star Tunicate,Absent
2008-08-22T00:00:00Z,SMCC Dock,Dock,South Portland,25,18,Aug,2008,Mainland,Membranipora sp.,Lacy Crust Bryozoan,Common
2008-08-22T00:00:00Z,SMCC Dock,Dock,South Portland,25,18,Aug,2008,Mainland,Carcinus maenas,Green Crab,Absent
2008-08-22T00:00:00Z,SMCC Dock,Dock,South Portland,25,18,Aug,2008,Mainland,Ascidiella aspersa,Sea Squirt,Absent
2008-08-22T00:00:00Z,SMCC Dock,Dock,South Portland,25,18,Aug,2008,Mainland,Hemigrapsus sanguineus,Asian Shore Crab,Absent
2008-08-22T00:00:00Z,SMCC Dock,Dock,South Portland,25,18,Aug,2008,Mainland,Styela clava,Club Tunicate,Absent
2008-08-22T00:00:00Z,SMCC Dock,Dock,South Portland,25,18,Aug,2008,Mainland,Ostrea edulis,European Oyster,Absent
2008-08-22T00:00:00Z,SMCC Dock,Dock,South Portland,25,18,Aug,2008,Mainland,Bugula neritina,Purple Bushy Bryozoan,Absent
2008-08-22T00:00:00Z,SMCC Dock,Dock,South Portland,25,18,Aug,2008,Mainland,Caprella mutica,Skeleton Shrimp,Absent
2008-08-22T00:00:00Z,SMCC Dock,Dock,South Portland,25,18,Aug,2008,Mainland,Diplosoma listerianum,Diplosoma Tunicate,Absent
2008-08-22T00:00:00Z,SMCC Dock,Dock,South Portland,25,18,Aug,2008,Mainland,Didemnum vexillum,"""Mystery"" Colonial Tunicate",Absent
2008-08-22T00:00:00Z,SMCC Dock,Dock,South Portland,25,18,Aug,2008,Mainland,"NA",NA,Absent
2008-08-22T00:00:00Z,SMCC Dock,Dock,South Portland,25,18,Aug,2008,Mainland,Colpomenia peregrina,Sea potato,Absent
2008-08-22T00:00:00Z,SMCC Dock,Dock,South Portland,25,18,Aug,2008,Mainland,Diadumene lineata,Striped Anemone,Absent
2008-08-22T00:00:00Z,SMCC Dock,Dock,South Portland,25,18,Aug,2008,Mainland,Codium fragile,Green Fleece,Absent
2008-08-22T00:00:00Z,SMCC Dock,Dock,South Portland,25,18,Aug,2008,Mainland,Corella eumyota,Tunicate,Absent
2008-08-22T00:00:00Z,SMCC Dock,Dock,South Portland,25,18,Aug,2008,Mainland,Palaemon elegans,European Rock Shrimp,Absent
2008-08-22T00:00:00Z,SMCC Dock,Dock,South Portland,25,18,Aug,2008,Mainland,Tricellaria inopinata,Unexpected Bryozoan,Absent
2009-06-23T00:00:00Z,SMCC Dock,Dock,South Portland,NA,NA,Jun,2009,Mainland,Botrylloides violaceus,Sheath Tunicate,Rare
2009-06-23T00:00:00Z,SMCC Dock,Dock,South Portland,NA,NA,Jun,2009,Mainland,Botryllus schlosseri,Golden Star Tunicate,Absent
2009-06-23T00:00:00Z,SMCC Dock,Dock,South Portland,NA,NA,Jun,2009,Mainland,Membranipora sp.,Lacy Crust Bryozoan,Few
2009-06-23T00:00:00Z,SMCC Dock,Dock,South Portland,NA,NA,Jun,2009,Mainland,Carcinus maenas,Green Crab,Rare
2009-06-23T00:00:00Z,SMCC Dock,Dock,South Portland,NA,NA,Jun,2009,Mainland,Ascidiella aspersa,Sea Squirt,Absent
2009-06-23T00:00:00Z,SMCC Dock,Dock,South Portland,NA,NA,Jun,2009,Mainland,Hemigrapsus sanguineus,Asian Shore Crab,Absent
2009-06-23T00:00:00Z,SMCC Dock,Dock,South Portland,NA,NA,Jun,2009,Mainland,Styela clava,Club Tunicate,Absent
2009-06-23T00:00:00Z,SMCC Dock,Dock,South Portland,NA,NA,Jun,2009,Mainland,Ostrea edulis,European Oyster,Absent
2009-06-23T00:00:00Z,SMCC Dock,Dock,South Portland,NA,NA,Jun,2009,Mainland,Bugula neritina,Purple Bushy Bryozoan,Absent
2009-06-23T00:00:00Z,SMCC Dock,Dock,South Portland,NA,NA,Jun,2009,Mainland,Caprella mutica,Skeleton Shrimp,Absent
2009-06-23T00:00:00Z,SMCC Dock,Dock,South Portland,NA,NA,Jun,2009,Mainland,Diplosoma listerianum,Diplosoma Tunicate,Absent
2009-06-23T00:00:00Z,SMCC Dock,Dock,South Portland,NA,NA,Jun,2009,Mainland,Didemnum vexillum,"""Mystery"" Colonial Tunicate",Absent
2009-06-23T00:00:00Z,SMCC Dock,Dock,South Portland,NA,NA,Jun,2009,Mainland,"NA",NA,Absent
2009-06-23T00:00:00Z,SMCC Dock,Dock,South Portland,NA,NA,Jun,2009,Mainland,Colpomenia peregrina,Sea potato,Absent
2009-06-23T00:00:00Z,SMCC Dock,Dock,South Portland,NA,NA,Jun,2009,Mainland,Diadumene lineata,Striped Anemone,Absent
2009-06-23T00:00:00Z,SMCC Dock,Dock,South Portland,NA,NA,Jun,2009,Mainland,Codium fragile,Green Fleece,Absent
2009-06-23T00:00:00Z,SMCC Dock,Dock,South Portland,NA,NA,Jun,2009,Mainland,Corella eumyota,Tunicate,Absent
2009-06-23T00:00:00Z,SMCC Dock,Dock,South Portland,NA,NA,Jun,2009,Mainland,Palaemon elegans,European Rock Shrimp,Absent
2009-06-23T00:00:00Z,SMCC Dock,Dock,South Portland,NA,NA,Jun,2009,Mainland,Tricellaria inopinata,Unexpected Bryozoan,Absent
2009-07-17T00:00:00Z,Siegel's Reef,Tidepool,South Portland,23,23,Jul,2009,Mainland,Botrylloides violaceus,Sheath Tunicate,Rare
2009-07-17T00:00:00Z,Siegel's Reef,Tidepool,South Portland,23,23,Jul,2009,Mainland,Botryllus schlosseri,Golden Star Tunicate,Few
2009-07-17T00:00:00Z,Siegel's Reef,Tidepool,South Portland,23,23,Jul,2009,Mainland,Membranipora sp.,Lacy Crust Bryozoan,Few
2009-07-17T00:00:00Z,Siegel's Reef,Tidepool,South Portland,23,23,Jul,2009,Mainland,Carcinus maenas,Green Crab,Rare
2009-07-17T00:00:00Z,Siegel's Reef,Tidepool,South Portland,23,23,Jul,2009,Mainland,Ascidiella aspersa,Sea Squirt,Absent
2009-07-17T00:00:00Z,Siegel's Reef,Tidepool,South Portland,23,23,Jul,2009,Mainland,Hemigrapsus sanguineus,Asian Shore Crab,Absent
2009-07-17T00:00:00Z,Siegel's Reef,Tidepool,South Portland,23,23,Jul,2009,Mainland,Styela clava,Club Tunicate,Absent
2009-07-17T00:00:00Z,Siegel's Reef,Tidepool,South Portland,23,23,Jul,2009,Mainland,Ostrea edulis,European Oyster,Absent
2009-07-17T00:00:00Z,Siegel's Reef,Tidepool,South Portland,23,23,Jul,2009,Mainland,Bugula neritina,Purple Bushy Bryozoan,Absent
2009-07-17T00:00:00Z,Siegel's Reef,Tidepool,South Portland,23,23,Jul,2009,Mainland,Caprella mutica,Skeleton Shrimp,Absent
2009-07-17T00:00:00Z,Siegel's Reef,Tidepool,South Portland,23,23,Jul,2009,Mainland,Diplosoma listerianum,Diplosoma Tunicate,Absent
2009-07-17T00:00:00Z,Siegel's Reef,Tidepool,South Portland,23,23,Jul,2009,Mainland,Didemnum vexillum,"""Mystery"" Colonial Tunicate",Absent
2009-07-17T00:00:00Z,Siegel's Reef,Tidepool,South Portland,23,23,Jul,2009,Mainland,"NA",NA,Absent
2009-07-17T00:00:00Z,Siegel's Reef,Tidepool,South Portland,23,23,Jul,2009,Mainland,Colpomenia peregrina,Sea potato,Absent
2009-07-17T00:00:00Z,Siegel's Reef,Tidepool,South Portland,23,23,Jul,2009,Mainland,Diadumene lineata,Striped Anemone,Absent
2009-07-17T00:00:00Z,Siegel's Reef,Tidepool,South Portland,23,23,Jul,2009,Mainland,Codium fragile,Green Fleece,Absent
2009-07-17T00:00:00Z,Siegel's Reef,Tidepool,South Portland,23,23,Jul,2009,Mainland,Corella eumyota,Tunicate,Absent
2009-07-17T00:00:00Z,Siegel's Reef,Tidepool,South Portland,23,23,Jul,2009,Mainland,Palaemon elegans,European Rock Shrimp,Absent
2009-07-17T00:00:00Z,Siegel's Reef,Tidepool,South Portland,23,23,Jul,2009,Mainland,Tricellaria inopinata,Unexpected Bryozoan,Absent
2009-07-17T00:00:00Z,SMCC Dock,Dock,South Portland,17,20,Jul,2009,Mainland,Botrylloides violaceus,Sheath Tunicate,Absent
2009-07-17T00:00:00Z,SMCC Dock,Dock,South Portland,17,20,Jul,2009,Mainland,Botryllus schlosseri,Golden Star Tunicate,Few
2009-07-17T00:00:00Z,SMCC Dock,Dock,South Portland,17,20,Jul,2009,Mainland,Membranipora sp.,Lacy Crust Bryozoan,Common
2009-07-17T00:00:00Z,SMCC Dock,Dock,South Portland,17,20,Jul,2009,Mainland,Carcinus maenas,Green Crab,Rare
2009-07-17T00:00:00Z,SMCC Dock,Dock,South Portland,17,20,Jul,2009,Mainland,Ascidiella aspersa,Sea Squirt,Absent
2009-07-17T00:00:00Z,SMCC Dock,Dock,South Portland,17,20,Jul,2009,Mainland,Hemigrapsus sanguineus,Asian Shore Crab,Absent
2009-07-17T00:00:00Z,SMCC Dock,Dock,South Portland,17,20,Jul,2009,Mainland,Styela clava,Club Tunicate,Absent
2009-07-17T00:00:00Z,SMCC Dock,Dock,South Portland,17,20,Jul,2009,Mainland,Ostrea edulis,European Oyster,Absent
2009-07-17T00:00:00Z,SMCC Dock,Dock,South Portland,17,20,Jul,2009,Mainland,Bugula neritina,Purple Bushy Bryozoan,Absent
2009-07-17T00:00:00Z,SMCC Dock,Dock,South Portland,17,20,Jul,2009,Mainland,Caprella mutica,Skeleton Shrimp,Absent
2009-07-17T00:00:00Z,SMCC Dock,Dock,South Portland,17,20,Jul,2009,Mainland,Diplosoma listerianum,Diplosoma Tunicate,Absent
2009-07-17T00:00:00Z,SMCC Dock,Dock,South Portland,17,20,Jul,2009,Mainland,Didemnum vexillum,"""Mystery"" Colonial Tunicate",Absent
2009-07-17T00:00:00Z,SMCC Dock,Dock,South Portland,17,20,Jul,2009,Mainland,"NA",NA,Absent
2009-07-17T00:00:00Z,SMCC Dock,Dock,South Portland,17,20,Jul,2009,Mainland,Colpomenia peregrina,Sea potato,Absent
2009-07-17T00:00:00Z,SMCC Dock,Dock,South Portland,17,20,Jul,2009,Mainland,Diadumene lineata,Striped Anemone,Absent
2009-07-17T00:00:00Z,SMCC Dock,Dock,South Portland,17,20,Jul,2009,Mainland,Codium fragile,Green Fleece,Absent
2009-07-17T00:00:00Z,SMCC Dock,Dock,South Portland,17,20,Jul,2009,Mainland,Corella eumyota,Tunicate,Absent
2009-07-17T00:00:00Z,SMCC Dock,Dock,South Portland,17,20,Jul,2009,Mainland,Palaemon elegans,European Rock Shrimp,Absent
2009-07-17T00:00:00Z,SMCC Dock,Dock,South Portland,17,20,Jul,2009,Mainland,Tricellaria inopinata,Unexpected Bryozoan,Absent
2009-08-25T00:00:00Z,Siegel's Reef,Tidepool,South Portland,31,23,Aug,2009,Mainland,Botrylloides violaceus,Sheath Tunicate,Rare
2009-08-25T00:00:00Z,Siegel's Reef,Tidepool,South Portland,31,23,Aug,2009,Mainland,Botryllus schlosseri,Golden Star Tunicate,Rare
2009-08-25T00:00:00Z,Siegel's Reef,Tidepool,South Portland,31,23,Aug,2009,Mainland,Membranipora sp.,Lacy Crust Bryozoan,Few
2009-08-25T00:00:00Z,Siegel's Reef,Tidepool,South Portland,31,23,Aug,2009,Mainland,Carcinus maenas,Green Crab,Few
2009-08-25T00:00:00Z,Siegel's Reef,Tidepool,South Portland,31,23,Aug,2009,Mainland,Ascidiella aspersa,Sea Squirt,Absent
2009-08-25T00:00:00Z,Siegel's Reef,Tidepool,South Portland,31,23,Aug,2009,Mainland,Hemigrapsus sanguineus,Asian Shore Crab,Absent
2009-08-25T00:00:00Z,Siegel's Reef,Tidepool,South Portland,31,23,Aug,2009,Mainland,Styela clava,Club Tunicate,Absent
2009-08-25T00:00:00Z,Siegel's Reef,Tidepool,South Portland,31,23,Aug,2009,Mainland,Ostrea edulis,European Oyster,Absent
2009-08-25T00:00:00Z,Siegel's Reef,Tidepool,South Portland,31,23,Aug,2009,Mainland,Bugula neritina,Purple Bushy Bryozoan,Absent
2009-08-25T00:00:00Z,Siegel's Reef,Tidepool,South Portland,31,23,Aug,2009,Mainland,Caprella mutica,Skeleton Shrimp,Absent
2009-08-25T00:00:00Z,Siegel's Reef,Tidepool,South Portland,31,23,Aug,2009,Mainland,Diplosoma listerianum,Diplosoma Tunicate,Absent
2009-08-25T00:00:00Z,Siegel's Reef,Tidepool,South Portland,31,23,Aug,2009,Mainland,Didemnum vexillum,"""Mystery"" Colonial Tunicate",Absent
2009-08-25T00:00:00Z,Siegel's Reef,Tidepool,South Portland,31,23,Aug,2009,Mainland,"NA",NA,Absent
2009-08-25T00:00:00Z,Siegel's Reef,Tidepool,South Portland,31,23,Aug,2009,Mainland,Colpomenia peregrina,Sea potato,Absent
2009-08-25T00:00:00Z,Siegel's Reef,Tidepool,South Portland,31,23,Aug,2009,Mainland,Diadumene lineata,Striped Anemone,Absent
2009-08-25T00:00:00Z,Siegel's Reef,Tidepool,South Portland,31,23,Aug,2009,Mainland,Codium fragile,Green Fleece,Absent
2009-08-25T00:00:00Z,Siegel's Reef,Tidepool,South Portland,31,23,Aug,2009,Mainland,Corella eumyota,Tunicate,Absent
2009-08-25T00:00:00Z,Siegel's Reef,Tidepool,South Portland,31,23,Aug,2009,Mainland,Palaemon elegans,European Rock Shrimp,Absent
2009-08-25T00:00:00Z,Siegel's Reef,Tidepool,South Portland,31,23,Aug,2009,Mainland,Tricellaria inopinata,Unexpected Bryozoan,Absent
2009-08-25T00:00:00Z,SMCC Dock,Dock,South Portland,29,20,Aug,2009,Mainland,Botrylloides violaceus,Sheath Tunicate,Few
2009-08-25T00:00:00Z,SMCC Dock,Dock,South Portland,29,20,Aug,2009,Mainland,Botryllus schlosseri,Golden Star Tunicate,Few
2009-08-25T00:00:00Z,SMCC Dock,Dock,South Portland,29,20,Aug,2009,Mainland,Membranipora sp.,Lacy Crust Bryozoan,Common
2009-08-25T00:00:00Z,SMCC Dock,Dock,South Portland,29,20,Aug,2009,Mainland,Carcinus maenas,Green Crab,Few
2009-08-25T00:00:00Z,SMCC Dock,Dock,South Portland,29,20,Aug,2009,Mainland,Ascidiella aspersa,Sea Squirt,Few
2009-08-25T00:00:00Z,SMCC Dock,Dock,South Portland,29,20,Aug,2009,Mainland,Hemigrapsus sanguineus,Asian Shore Crab,Absent
2009-08-25T00:00:00Z,SMCC Dock,Dock,South Portland,29,20,Aug,2009,Mainland,Styela clava,Club Tunicate,Absent
2009-08-25T00:00:00Z,SMCC Dock,Dock,South Portland,29,20,Aug,2009,Mainland,Ostrea edulis,European Oyster,Absent
2009-08-25T00:00:00Z,SMCC Dock,Dock,South Portland,29,20,Aug,2009,Mainland,Bugula neritina,Purple Bushy Bryozoan,Absent
2009-08-25T00:00:00Z,SMCC Dock,Dock,South Portland,29,20,Aug,2009,Mainland,Caprella mutica,Skeleton Shrimp,Absent
2009-08-25T00:00:00Z,SMCC Dock,Dock,South Portland,29,20,Aug,2009,Mainland,Diplosoma listerianum,Diplosoma Tunicate,Absent
2009-08-25T00:00:00Z,SMCC Dock,Dock,South Portland,29,20,Aug,2009,Mainland,Didemnum vexillum,"""Mystery"" Colonial Tunicate",Absent
2009-08-25T00:00:00Z,SMCC Dock,Dock,South Portland,29,20,Aug,2009,Mainland,"NA",NA,Absent
2009-08-25T00:00:00Z,SMCC Dock,Dock,South Portland,29,20,Aug,2009,Mainland,Colpomenia peregrina,Sea potato,Absent
2009-08-25T00:00:00Z,SMCC Dock,Dock,South Portland,29,20,Aug,2009,Mainland,Diadumene lineata,Striped Anemone,Absent
2009-08-25T00:00:00Z,SMCC Dock,Dock,South Portland,29,20,Aug,2009,Mainland,Codium fragile,Green Fleece,Absent
2009-08-25T00:00:00Z,SMCC Dock,Dock,South Portland,29,20,Aug,2009,Mainland,Corella eumyota,Tunicate,Absent
2009-08-25T00:00:00Z,SMCC Dock,Dock,South Portland,29,20,Aug,2009,Mainland,Palaemon elegans,European Rock Shrimp,Absent
2009-08-25T00:00:00Z,SMCC Dock,Dock,South Portland,29,20,Aug,2009,Mainland,Tricellaria inopinata,Unexpected Bryozoan,Absent
2009-09-29T00:00:00Z,Siegel's Reef,Tidepool,South Portland,33,20,Sep,2009,Mainland,Botrylloides violaceus,Sheath Tunicate,Few
2009-09-29T00:00:00Z,Siegel's Reef,Tidepool,South Portland,33,20,Sep,2009,Mainland,Botryllus schlosseri,Golden Star Tunicate,Few
2009-09-29T00:00:00Z,Siegel's Reef,Tidepool,South Portland,33,20,Sep,2009,Mainland,Membranipora sp.,Lacy Crust Bryozoan,Few
2009-09-29T00:00:00Z,Siegel's Reef,Tidepool,South Portland,33,20,Sep,2009,Mainland,Carcinus maenas,Green Crab,Rare
2009-09-29T00:00:00Z,Siegel's Reef,Tidepool,South Portland,33,20,Sep,2009,Mainland,Ascidiella aspersa,Sea Squirt,Rare
2009-09-29T00:00:00Z,Siegel's Reef,Tidepool,South Portland,33,20,Sep,2009,Mainland,Hemigrapsus sanguineus,Asian Shore Crab,Absent
2009-09-29T00:00:00Z,Siegel's Reef,Tidepool,South Portland,33,20,Sep,2009,Mainland,Styela clava,Club Tunicate,Absent
2009-09-29T00:00:00Z,Siegel's Reef,Tidepool,South Portland,33,20,Sep,2009,Mainland,Ostrea edulis,European Oyster,Absent
2009-09-29T00:00:00Z,Siegel's Reef,Tidepool,South Portland,33,20,Sep,2009,Mainland,Bugula neritina,Purple Bushy Bryozoan,Absent
2009-09-29T00:00:00Z,Siegel's Reef,Tidepool,South Portland,33,20,Sep,2009,Mainland,Caprella mutica,Skeleton Shrimp,Absent
2009-09-29T00:00:00Z,Siegel's Reef,Tidepool,South Portland,33,20,Sep,2009,Mainland,Diplosoma listerianum,Diplosoma Tunicate,Absent
2009-09-29T00:00:00Z,Siegel's Reef,Tidepool,South Portland,33,20,Sep,2009,Mainland,Didemnum vexillum,"""Mystery"" Colonial Tunicate",Absent
2009-09-29T00:00:00Z,Siegel's Reef,Tidepool,South Portland,33,20,Sep,2009,Mainland,"NA",NA,Absent
2009-09-29T00:00:00Z,Siegel's Reef,Tidepool,South Portland,33,20,Sep,2009,Mainland,Colpomenia peregrina,Sea potato,Absent
2009-09-29T00:00:00Z,Siegel's Reef,Tidepool,South Portland,33,20,Sep,2009,Mainland,Diadumene lineata,Striped Anemone,Absent
2009-09-29T00:00:00Z,Siegel's Reef,Tidepool,South Portland,33,20,Sep,2009,Mainland,Codium fragile,Green Fleece,Absent
2009-09-29T00:00:00Z,Siegel's Reef,Tidepool,South Portland,33,20,Sep,2009,Mainland,Corella eumyota,Tunicate,Absent
2009-09-29T00:00:00Z,Siegel's Reef,Tidepool,South Portland,33,20,Sep,2009,Mainland,Palaemon elegans,European Rock Shrimp,Absent
2009-09-29T00:00:00Z,Siegel's Reef,Tidepool,South Portland,33,20,Sep,2009,Mainland,Tricellaria inopinata,Unexpected Bryozoan,Absent
2009-09-29T00:00:00Z,SMCC Dock,Dock,South Portland,33,15,Sep,2009,Mainland,Botrylloides violaceus,Sheath Tunicate,Common
2009-09-29T00:00:00Z,SMCC Dock,Dock,South Portland,33,15,Sep,2009,Mainland,Botryllus schlosseri,Golden Star Tunicate,Common
2009-09-29T00:00:00Z,SMCC Dock,Dock,South Portland,33,15,Sep,2009,Mainland,Membranipora sp.,Lacy Crust Bryozoan,Common
2009-09-29T00:00:00Z,SMCC Dock,Dock,South Portland,33,15,Sep,2009,Mainland,Carcinus maenas,Green Crab,Rare
2009-09-29T00:00:00Z,SMCC Dock,Dock,South Portland,33,15,Sep,2009,Mainland,Ascidiella aspersa,Sea Squirt,Common
2009-09-29T00:00:00Z,SMCC Dock,Dock,South Portland,33,15,Sep,2009,Mainland,Hemigrapsus sanguineus,Asian Shore Crab,Absent
2009-09-29T00:00:00Z,SMCC Dock,Dock,South Portland,33,15,Sep,2009,Mainland,Styela clava,Club Tunicate,Absent
2009-09-29T00:00:00Z,SMCC Dock,Dock,South Portland,33,15,Sep,2009,Mainland,Ostrea edulis,European Oyster,Absent
2009-09-29T00:00:00Z,SMCC Dock,Dock,South Portland,33,15,Sep,2009,Mainland,Bugula neritina,Purple Bushy Bryozoan,Absent
2009-09-29T00:00:00Z,SMCC Dock,Dock,South Portland,33,15,Sep,2009,Mainland,Caprella mutica,Skeleton Shrimp,Absent
2009-09-29T00:00:00Z,SMCC Dock,Dock,South Portland,33,15,Sep,2009,Mainland,Diplosoma listerianum,Diplosoma Tunicate,Absent
2009-09-29T00:00:00Z,SMCC Dock,Dock,South Portland,33,15,Sep,2009,Mainland,Didemnum vexillum,"""Mystery"" Colonial Tunicate",Absent
2009-09-29T00:00:00Z,SMCC Dock,Dock,South Portland,33,15,Sep,2009,Mainland,"NA",NA,Absent
2009-09-29T00:00:00Z,SMCC Dock,Dock,South Portland,33,15,Sep,2009,Mainland,Colpomenia peregrina,Sea potato,Absent
2009-09-29T00:00:00Z,SMCC Dock,Dock,South Portland,33,15,Sep,2009,Mainland,Diadumene lineata,Striped Anemone,Absent
2009-09-29T00:00:00Z,SMCC Dock,Dock,South Portland,33,15,Sep,2009,Mainland,Codium fragile,Green Fleece,Absent
2009-09-29T00:00:00Z,SMCC Dock,Dock,South Portland,33,15,Sep,2009,Mainland,Corella eumyota,Tunicate,Absent
2009-09-29T00:00:00Z,SMCC Dock,Dock,South Portland,33,15,Sep,2009,Mainland,Palaemon elegans,European Rock Shrimp,Absent
2009-09-29T00:00:00Z,SMCC Dock,Dock,South Portland,33,15,Sep,2009,Mainland,Tricellaria inopinata,Unexpected Bryozoan,Absent
2010-07-20T00:00:00Z,Siegel's Reef,Tidepool,South Portland,NA,NA,Jul,2010,Mainland,Botrylloides violaceus,Sheath Tunicate,NA
2010-07-20T00:00:00Z,Siegel's Reef,Tidepool,South Portland,NA,NA,Jul,2010,Mainland,Botryllus schlosseri,Golden Star Tunicate,Absent
2010-07-20T00:00:00Z,Siegel's Reef,Tidepool,South Portland,NA,NA,Jul,2010,Mainland,Membranipora sp.,Lacy Crust Bryozoan,Absent
2010-07-20T00:00:00Z,Siegel's Reef,Tidepool,South Portland,NA,NA,Jul,2010,Mainland,Carcinus maenas,Green Crab,NA
2010-07-20T00:00:00Z,Siegel's Reef,Tidepool,South Portland,NA,NA,Jul,2010,Mainland,Ascidiella aspersa,Sea Squirt,Absent
2010-07-20T00:00:00Z,Siegel's Reef,Tidepool,South Portland,NA,NA,Jul,2010,Mainland,Hemigrapsus sanguineus,Asian Shore Crab,Absent
2010-07-20T00:00:00Z,Siegel's Reef,Tidepool,South Portland,NA,NA,Jul,2010,Mainland,Styela clava,Club Tunicate,Absent
2010-07-20T00:00:00Z,Siegel's Reef,Tidepool,South Portland,NA,NA,Jul,2010,Mainland,Ostrea edulis,European Oyster,Absent
2010-07-20T00:00:00Z,Siegel's Reef,Tidepool,South Portland,NA,NA,Jul,2010,Mainland,Bugula neritina,Purple Bushy Bryozoan,Absent
2010-07-20T00:00:00Z,Siegel's Reef,Tidepool,South Portland,NA,NA,Jul,2010,Mainland,Caprella mutica,Skeleton Shrimp,Absent
2010-07-20T00:00:00Z,Siegel's Reef,Tidepool,South Portland,NA,NA,Jul,2010,Mainland,Diplosoma listerianum,Diplosoma Tunicate,Absent
2010-07-20T00:00:00Z,Siegel's Reef,Tidepool,South Portland,NA,NA,Jul,2010,Mainland,Didemnum vexillum,"""Mystery"" Colonial Tunicate",Absent
2010-07-20T00:00:00Z,Siegel's Reef,Tidepool,South Portland,NA,NA,Jul,2010,Mainland,"NA",NA,Absent
2010-07-20T00:00:00Z,Siegel's Reef,Tidepool,South Portland,NA,NA,Jul,2010,Mainland,Colpomenia peregrina,Sea potato,Absent
2010-07-20T00:00:00Z,Siegel's Reef,Tidepool,South Portland,NA,NA,Jul,2010,Mainland,Diadumene lineata,Striped Anemone,Absent
2010-07-20T00:00:00Z,Siegel's Reef,Tidepool,South Portland,NA,NA,Jul,2010,Mainland,Codium fragile,Green Fleece,Absent
2010-07-20T00:00:00Z,Siegel's Reef,Tidepool,South Portland,NA,NA,Jul,2010,Mainland,Corella eumyota,Tunicate,Absent
2010-07-20T00:00:00Z,Siegel's Reef,Tidepool,South Portland,NA,NA,Jul,2010,Mainland,Palaemon elegans,European Rock Shrimp,Absent
2010-07-20T00:00:00Z,Siegel's Reef,Tidepool,South Portland,NA,NA,Jul,2010,Mainland,Tricellaria inopinata,Unexpected Bryozoan,Absent
2010-07-20T00:00:00Z,SMCC Dock,Dock,South Portland,NA,NA,Jul,2010,Mainland,Botrylloides violaceus,Sheath Tunicate,Absent
2010-07-20T00:00:00Z,SMCC Dock,Dock,South Portland,NA,NA,Jul,2010,Mainland,Botryllus schlosseri,Golden Star Tunicate,Absent
